background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0035,24.63417211960548,93.14247210166457,2189.9773094747384,658.2741960874321,unclassified,,1338446547.0,stream,,1338304593.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:11:10Z,local equirectangular point-to-polyline
BG_0036,24.70104365347782,93.7220014124364,1010.252928193154,1497.6378959719875,unclassified,,1416409539.0,stream,,1456734797.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0037,27.786122326967984,88.67450723572448,3179.301967011331,3334.352884015449,tertiary,,117990939.0,river,Lachung Chu,170015107.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:17:20Z,local equirectangular point-to-polyline
BG_0038,27.43553567001521,88.37851776259298,4970.580960342364,908.8929819878216,track,,1241900031.0,river,Rangeet,134417407.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-15T15:22:01Z,local equirectangular point-to-polyline
BG_0039,24.66681900644272,93.30796346022856,6882.60029546993,1836.291169323303,unclassified,,1336965433.0,river,Barāk River,27919542.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:23:21Z,local equirectangular point-to-polyline
BG_0040,27.371772779455053,88.39598072285604,2518.1645133821285,1099.8740252621608,unclassified,,1241335175.0,river,Rangeet,1013920660.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:29:36Z,local equirectangular point-to-polyline
BG_0041,24.9560298280019,92.76745533281624,207.35001437424947,1394.5263780082018,residential,,1057088239.0,river,Jatinga River,169375809.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:33:35Z,local equirectangular point-to-polyline
BG_0042,25.75861193311601,92.57388146032218,4237.0640761585255,5440.050160655321,unclassified,,1467388989.0,river,Amki River,666880700.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:40:51Z,local equirectangular point-to-polyline
BG_0043,27.954013772670336,95.74806352094106,640.9534184608224,899.0259986654289,trunk,,387648834.0,river,Jiya Nadi,130513186.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T17:44:00Z,local equirectangular point-to-polyline
BG_0044,27.390833895835065,88.15382055281145,5238.832048329316,3365.761683410245,unclassified,,1239105131.0,stream,,366221526.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:47:50Z,local equirectangular point-to-polyline
BG_0045,24.14125796116664,92.84995073650757,4308.619826133005,467.64614651652926,secondary,,663217034.0,stream,Tuiri Tei,310294835.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-15T15:22:01Z,local equirectangular point-to-polyline
BG_0046,24.178318223739403,93.11263168803112,1838.372234910707,719.5501853171866,tertiary,,198312346.0,river,Tuibum,662190188.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T19:34:00Z,local equirectangular point-to-polyline
BG_0047,24.91788128317036,93.71427718730608,1326.3329452541968,114.94708352799827,tertiary,,758802486.0,river,Tupui,128600553.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0048,27.508530678807443,95.26494039985565,33.49979792398684,5127.80091193624,residential,,589690287.0,stream,,717093618.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:00:06Z,local equirectangular point-to-polyline
BG_0049,24.12612346150217,93.62610470789711,280.3204092735372,571.6328470377598,unclassified,,1188463507.0,river,Khuga River,385483917.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-24T11:04:51Z,local equirectangular point-to-polyline
BG_0050,26.258034003400244,90.37498174857276,1767.0405333923652,1071.331898317467,trunk,,759858217.0,stream,,228560104.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0051,26.45596081474761,91.41961929987178,126.4055551197985,921.314218055528,unclassified,,1307131530.0,stream,,663302977.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:07:20Z,local equirectangular point-to-polyline
BG_0052,24.21135545586331,94.24366745204112,1168.6596441772365,3876.6023222028784,unclassified,,1268362345.0,river,Tuta Lok,169977260.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0053,27.437317552858698,94.72944138778692,34.413981055090815,504.42277415452014,unclassified,,740509919.0,stream,,206421919.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:12:20Z,local equirectangular point-to-polyline
BG_0054,24.34359684837752,92.0719957640357,2856.0061090654044,2962.0258344101894,trunk,,69259910.0,stream,,751027341.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-24T11:04:51Z,local equirectangular point-to-polyline
BG_0055,26.51668056159096,92.26657362323752,894.6052726520226,579.4777525039912,track,,987512981.0,river,,155294107.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:19:27Z,local equirectangular point-to-polyline
BG_0056,28.004465472003755,88.74857915898255,268.245712258908,2042.7067707967049,track,,991328225.0,river,Lachen Chu,192599614.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0057,27.450209812723067,94.76806947848928,1622.659390214783,1155.0837247768225,track,,1056563793.0,river,Brahmaputra,157701252.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0058,27.4292275713388,95.20998003331552,434.3358506687833,14.052786203925493,unclassified,,717098909.0,stream,,717435773.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0059,27.93642901062441,88.21514549695229,6591.520283980743,2002.522793163216,unclassified,,702138291.0,river,Goma Chu,134410502.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-06-01T08:52:28Z,local equirectangular point-to-polyline
BG_0060,27.39973656000564,88.43081677280614,780.1454732124433,221.2159191910727,unclassified,,1213387467.0,stream,,599760252.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,,local equirectangular point-to-polyline
BG_0061,27.318302845376724,88.73459252984676,2959.393266126066,734.932399258851,tertiary,,156016650.0,river,Rangpo River tributary,1414143362.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-15T15:22:01Z,local equirectangular point-to-polyline
BG_0062,27.282132265300003,88.0349255791242,484.8863350923368,242.85713044441863,track,,524216179.0,stream,,343176263.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T19:34:00Z,local equirectangular point-to-polyline
BG_0063,26.09771493372308,93.52934435024572,6090.427820131724,5772.432073679484,track,,1127414144.0,river,,329685524.0,15000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:47:52Z,local equirectangular point-to-polyline
BG_0064,27.68455867459603,88.3627181129377,13187.266387780945,1898.761148795092,track,,1216095925.0,stream,Yumthulphuk Chu,998280938.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T22:53:05Z,local equirectangular point-to-polyline
