threshold,f1,f2,precision,recall
0.33999999999999997,0.8603584827011255,0.8601433572262044,0.8607172643869891,0.86
0.3449999999999999,0.8603584827011255,0.8601433572262044,0.8607172643869891,0.86
0.3499999999999999,0.8589315525876461,0.8580720480320213,0.8603678929765887,0.8575
0.3549999999999999,0.8575010447137484,0.8559986651092941,0.8600167644593462,0.855
0.35999999999999993,0.8563049853372434,0.8535159512276599,0.8609941027801179,0.8516666666666667
0.36499999999999994,0.8563049853372434,0.8535159512276599,0.8609941027801179,0.8516666666666667
0.36999999999999994,0.8551028979420412,0.8510282561444574,0.8619813717188823,0.8483333333333334
0.37499999999999994,0.8540176693310896,0.8490881713234064,0.8623619371282922,0.8458333333333333
0.37999999999999995,0.8535353535353535,0.8483935742971888,0.8622448979591837,0.845
0.38499999999999995,0.8524451939291737,0.8464501004688546,0.8626279863481229,0.8425
0.38999999999999996,0.8524451939291737,0.8464501004688546,0.8626279863481229,0.8425
0.39499999999999996,0.8520710059171598,0.8447871270533021,0.8644939965694682,0.84
0.3999999999999999,0.851585623678647,0.8440905280804694,0.8643776824034335,0.8391666666666666
0.4049999999999999,0.8490245971162002,0.8400469956361195,0.8644214162348878,0.8341666666666666
0.4099999999999999,0.8475583864118896,0.837951301427372,0.8640692640692641,0.8316666666666667
0.4149999999999999,0.847428814279643,0.8373929111372417,0.8647007805724197,0.8308333333333333
0.41999999999999993,0.8463175819497658,0.8354345268112288,0.8651000870322019,0.8283333333333334
0.42499999999999993,0.8460554371002132,0.8343145500420521,0.8663755458515284,0.8266666666666667
0.42999999999999994,0.8459240290226205,0.8337539962981659,0.8670166229221348,0.8258333333333333
0.43499999999999994,0.8444444444444444,0.8316498316498316,0.8666666666666667,0.8233333333333334
0.43999999999999995,0.8439504061564771,0.8309479710388954,0.8665496049165935,0.8225
0.44499999999999995,0.8438168592212237,0.830385716691932,0.8671943711521548,0.8216666666666667
0.4499999999999999,0.8438168592212237,0.830385716691932,0.8671943711521548,0.8216666666666667
0.4549999999999999,0.8435490784397771,0.8292600707904938,0.8684907325684025,0.82
0.4599999999999999,0.8429184549356223,0.8279932546374368,0.8690265486725663,0.8183333333333334
0.4649999999999999,0.8409286328460877,0.8251771852851839,0.8685612788632326,0.815
0.4699999999999999,0.8392934080137872,0.8224961999662219,0.8688670829616414,0.8116666666666666
0.4749999999999999,0.8368671570748594,0.817966503129758,0.8703870387038704,0.8058333333333333
0.4799999999999999,0.8367258553486357,0.8173971907260111,0.8710550045085663,0.805
0.48499999999999993,0.8359375,0.8155487804878049,0.8722826086956522,0.8025
0.48999999999999994,0.8360156589821661,0.8145448381081539,0.8744313011828936,0.8008333333333333
0.49499999999999994,0.8363794604003482,0.8146829433706341,0.8752276867030966,0.8008333333333333
0.49999999999999994,0.8367435785807575,0.814821095472274,0.8760255241567912,0.8008333333333333
0.5049999999999999,0.8369659982563208,0.8143875127248049,0.8775137111517367,0.8
