feature,class,rows,missing,missing_pct,mean,median,q25,q75,min,max,top_values
ndvi_missing,background,381,0,0.0,0.6561679790026247,1.0,0.0,1.0,0.0,1.0,
soil_moisture_surface_m3_m3,positive,381,0,0.0,0.44319947506561674,0.429,0.423,0.477,0.18,0.508,
soil_moisture_surface_m3_m3,background,381,0,0.0,0.4337244094488189,0.426,0.418,0.467,0.147,0.506,
soil_moisture_7_28cm_m3_m3,positive,381,0,0.0,0.44752755905511804,0.43,0.424,0.488,0.189,0.505,
soil_moisture_7_28cm_m3_m3,background,381,0,0.0,0.4360708661417323,0.427,0.418,0.475,0.144,0.504,
soil_moisture_28_100cm_m3_m3,positive,381,0,0.0,0.4396010498687664,0.428,0.419,0.482,0.213,0.517,
soil_moisture_28_100cm_m3_m3,background,381,0,0.0,0.4241391076115486,0.427,0.41,0.474,0.098,0.517,
soil_moisture_0_100cm_m3_m3,positive,381,0,0.0,0.4415354330708661,0.429,0.42,0.484,0.206,0.509,
soil_moisture_0_100cm_m3_m3,background,381,0,0.0,0.42729658792650915,0.427,0.413,0.476,0.143,0.511,
soil_moisture_surface_3d_mean_m3_m3,positive,381,0,0.0,0.44327996500437444,0.4286666666666667,0.421,0.4783333333333333,0.1723333333333333,0.502,
soil_moisture_surface_3d_mean_m3_m3,background,381,0,0.0,0.43350218722659667,0.4253333333333333,0.4173333333333333,0.4733333333333333,0.1363333333333333,0.5023333333333333,
soil_moisture_surface_7d_mean_m3_m3,positive,381,0,0.0,0.4395414323209598,0.427,0.4175714285714286,0.4762857142857143,0.1712857142857143,0.4924285714285715,
soil_moisture_surface_7d_mean_m3_m3,background,381,0,0.0,0.4293352080989876,0.4238571428571429,0.4137142857142857,0.4688571428571428,0.1368571428571428,0.4904285714285714,
soil_moisture_surface_anomaly_vs_7d,positive,381,0,0.0,0.0036580427446569084,0.0015714285714285,-0.0032857142857142,0.0085714285714285,-0.0385714285714285,0.1498571428571428,
soil_moisture_surface_anomaly_vs_7d,background,381,0,0.0,0.0043892013498312635,0.0014285714285713,-0.0035714285714285,0.0094285714285713,-0.0357142857142856,0.1404285714285714,
distance_to_road_m,positive,381,1,0.26246719160104987,466.3410389463253,69.99019859519618,18.77650726584182,340.84458919648137,0.089685999746297,8091.227250585504,
distance_to_road_m,background,381,0,0.0,9712.900998060679,1120.5014194131404,334.039320553988,3162.869649586421,1.1127496967504875,2753786.832169084,
distance_to_river_m,positive,381,1,0.26246719160104987,1685.4597476412346,1150.057101694439,489.42138232012064,2347.3535914618324,13.72677133683401,11342.137928507882,
distance_to_river_m,background,381,0,0.0,2000.8582198758113,1347.796656607344,599.8669373200994,2789.76602976,14.052786203925493,10520.707635882767,
