pair_id,state,event_date,positive_rainfall_24h_mm,background_rainfall_24h_mm,delta_rainfall_24h_mm,positive_rainfall_72h_mm,background_rainfall_72h_mm,delta_rainfall_72h_mm,positive_rainfall_7d_mm,background_rainfall_7d_mm,delta_rainfall_7d_mm,positive_rain_prev_48h_mm,background_rain_prev_48h_mm,delta_rain_prev_48h_mm,positive_rain_prev_4d_mm,background_rain_prev_4d_mm,delta_rain_prev_4d_mm,positive_ratio_24_to_72,background_ratio_24_to_72,delta_ratio_24_to_72,positive_ratio_72_to_7d,background_ratio_72_to_7d,delta_ratio_72_to_7d
1048376,Assam,2014-09-22,160.51,153.08,7.429999999999978,250.74,243.17,7.570000000000022,293.9599999999999,280.43,13.529999999999916,90.23000000000002,90.08999999999997,0.1400000000000432,43.219999999999914,37.26000000000002,5.959999999999894,0.640145170295924,0.6295184438869927,0.010626726408931253,0.8529731936317869,0.8671326177655743,-0.014159424133787346
1048375,Assam,2014-09-22,160.51,13.39,147.12,250.74,58.17,192.57,293.9599999999999,104.61,189.3499999999999,90.23000000000002,44.78,45.45000000000002,43.219999999999914,46.44,-3.220000000000084,0.640145170295924,0.23018738181193055,0.40995778848399345,0.8529731936317869,0.5560653857183826,0.2969078079134043
1048444,Assam,2014-09-22,160.51,66.92,93.58999999999999,250.74,129.68,121.06,293.9599999999999,201.46000000000004,92.49999999999989,90.23000000000002,62.760000000000005,27.470000000000013,43.219999999999914,71.78000000000003,-28.560000000000116,0.640145170295924,0.5160394818013572,0.12410568849456682,0.8529731936317869,0.6437009828253747,0.20927221080641223
1048409,Assam,2014-09-22,160.51,15.21,145.29999999999998,250.74,56.33,194.41000000000003,293.9599999999999,70.16,223.79999999999993,90.23000000000002,41.12,49.11000000000002,43.219999999999914,13.829999999999998,29.389999999999915,0.640145170295924,0.27001597727676196,0.37012919301916203,0.8529731936317869,0.80287913340935,0.0500940602224369
1048448,Assam,2014-09-22,160.51,27.21,133.29999999999998,250.74,62.68,188.06,293.9599999999999,70.02000000000001,223.9399999999999,90.23000000000002,35.47,54.76000000000002,43.219999999999914,7.3400000000000105,35.8799999999999,0.640145170295924,0.43410976388002553,0.20603540641589846,0.8529731936317869,0.8951728077692087,-0.04219961413742179
1048491,Assam,2014-09-22,160.51,28.59,131.92,250.74,84.8,165.94,293.9599999999999,153.61,140.3499999999999,90.23000000000002,56.209999999999994,34.020000000000024,43.219999999999914,68.81000000000002,-25.590000000000103,0.640145170295924,0.33714622641509434,0.30299894388082965,0.8529731936317869,0.552047392747868,0.30092580088391896
1048479,Assam,2014-09-22,160.51,16.74,143.76999999999998,250.74,67.36,183.38,293.9599999999999,122.51,171.44999999999993,90.23000000000002,50.620000000000005,39.610000000000014,43.219999999999914,55.150000000000006,-11.930000000000092,0.640145170295924,0.2485154394299287,0.3916297308659953,0.8529731936317869,0.549832666721084,0.3031405269107029
1048431,Assam,2014-09-22,160.51,150.34,10.169999999999987,250.74,238.57,12.170000000000016,293.9599999999999,283.20000000000005,10.759999999999877,90.23000000000002,88.22999999999999,2.0000000000000284,43.219999999999914,44.63000000000005,-1.4100000000001387,0.640145170295924,0.6301714381523243,0.009973732143599645,0.8529731936317869,0.8424081920903953,0.010565001541391617
1048367,Assam,2014-09-22,160.51,150.34,10.169999999999987,250.74,238.57,12.170000000000016,293.9599999999999,283.20000000000005,10.759999999999877,90.23000000000002,88.22999999999999,2.0000000000000284,43.219999999999914,44.63000000000005,-1.4100000000001387,0.640145170295924,0.6301714381523243,0.009973732143599645,0.8529731936317869,0.8424081920903953,0.010565001541391617
1048429,Assam,2014-09-23,16.05,45.37,-29.319999999999997,248.34,98.11,150.23000000000002,308.73,139.48999999999998,169.24000000000004,232.29,52.74,179.54999999999998,60.390000000000015,41.37999999999998,19.010000000000034,0.06462913747281952,0.46244011823463455,-0.39781098076181504,0.8043921873481683,0.7033479102444621,0.10104427710370623
